FPR=0.0012,FPR=0.0013,FPR=0.0143,FPR=0.0210
6.689279735520744e-6,2.068235264317562e-5,0.0006756917323133536,0.0005167869328431307
6.689279735520744e-6,2.068235264317562e-5,0.0006906229844124037,0.000518988837116003
6.689279735520744e-6,2.068235264317562e-5,0.0007082881277408574,0.000522732074379886
6.689279735520744e-6,2.068235264317562e-5,0.000734785842733538,0.0005291175967712156
6.689279735520744e-6,2.068235264317562e-5,0.0007682234354623967,0.0005374848330081304
6.689279735520744e-6,2.068235264317562e-5,0.0008155407836636119,0.0005506962586453643
6.689279735520744e-6,2.068235264317562e-5,0.0008651714244435532,0.0005601644470187152
6.689279735520744e-6,2.068235264317562e-5,0.0009267891267678024,0.0005740364439378108
6.689279735520744e-6,2.068235264317562e-5,0.0009934540129001813,0.0005881286312841935
6.689279735520744e-6,2.068235264317562e-5,0.0010605394976832374,0.0006006794856395657
6.689279735520744e-6,2.068235264317562e-5,0.0011391914453599242,0.0006176341485406824
6.689279735520744e-6,2.068235264317562e-5,0.0012273068626768538,0.0006405339529785545
6.689279735520744e-6,2.068235264317562e-5,0.0013307741307435111,0.0006632135669891392
6.689279735520744e-6,2.1147124612685184e-5,0.0014397091812689755,0.0006880950852725963
6.689279735520744e-6,2.1147124612685184e-5,0.0015427558506849555,0.0007109948897104683
6.689279735520744e-6,2.1147124612685184e-5,0.001665780956008115,0.0007334543132937659
6.689279735520744e-6,2.1147124612685184e-5,0.0017864927687525486,0.0007598771645682336
6.689279735520744e-6,2.1147124612685184e-5,0.0019181401464145962,0.0007880615392609991
6.689279735520744e-6,2.1147124612685184e-5,0.0020556759051861286,0.000818447818226637
6.689279735520744e-6,2.1147124612685184e-5,0.0022045678275259524,0.0008512561918924343
