hfq_hcd_1,hfq_hcd_2,nb_ints,bp_fdr
40897,60735,101632,7.304181377115861e-20
53887,27168,81055,0.9999978506734092
15968,6539,22507,0.1022633479497511
6920,9625,16545,0.0011510671921145252
10005,6063,16068,0.010276525440471052
7259,5604,12863,0.4129233913536685
5410,7337,12747,0.08150883114382507
7325,3290,10615,2.0754081640676376e-19
2850,6713,9563,4.0855391707257477e-11
3515,5904,9419,1.168276283480635e-6
941,5816,6757,1.6085351902258637e-15
3438,2451,5889,9.77453499382965e-10
384,3643,4027,1.4129563594591796e-6
811,3145,3956,0.998907113782714
868,3072,3940,0.13607587061668683
937,2629,3566,0.8705989613334273
2323,1010,3333,0.1187098235679931
1662,1431,3093,1.3345446079734572e-9
574,2489,3063,0.37642590770649537
1181,1811,2992,2.8166231637107e-5
1415,1497,2912,0.6311253596222562
1679,1086,2765,2.571414472042335e-8
1687,964,2651,9.103927755853585e-11
1430,841,2271,0.9940364133043016
1047,1211,2258,1.0493629766392953e-8
1007,1165,2172,1.4993439681164885e-12
704,1417,2121,NaN
987,1068,2055,3.836491001930031e-7
1025,979,2004,0.0002630415886795428
882,897,1779,0.20910819076120546
399,1336,1735,1.5598118004743436e-29
425,1263,1688,7.081898451719945e-9
905,730,1635,0.9409499775572661
535,1073,1608,3.28683993146487e-11
759,830,1589,8.781659021274322e-13
327,1236,1563,0.999645037994863
466,1018,1484,6.720657747467629e-8
412,1017,1429,0.3050727794280919
924,495,1419,0.8183030103993623
655,678,1333,1.0680020187358602e-10
424,817,1241,1.6067277248121754e-10
561,674,1235,0.7436042216854737
320,898,1218,8.311793252862957e-29
173,1035,1208,6.728327970274598e-17
566,632,1198,0.012926942381561383
663,500,1163,1.6174696116640908e-5
353,783,1136,0.3910735561452959
808,326,1134,0.002468408200677262
603,524,1127,0.0007938003926103819
666,443,1109,0.8370737257527485
149,909,1058,0.9752864243987186
568,479,1047,0.5399991833128603
702,342,1044,0.784255123619528
489,545,1034,0.18051831243523325
658,359,1017,4.040019708495862e-13
368,646,1014,3.3082564558413445e-5
487,524,1011,0.163181402162497
622,387,1009,0.5865178779178963
563,429,992,0.006062011823618846
185,802,987,6.92713574842552e-5
113,861,974,3.432994522359372e-13
184,786,970,0.004811988483686424
248,713,961,0.5622937051494022
152,768,920,0.0012284017775690684
645,256,901,0.0017520657873894788
462,437,899,0.07636834781708973
538,359,897,0.37737247215901876
87,795,882,0.973166916062281
139,739,878,1.0787000487004737e-6
595,272,867,0.995324766023357
522,326,848,3.4517703209228305e-9
479,366,845,0.0007196400953717512
426,408,834,0.2600107652662098
594,237,831,9.205542768134888e-6
360,470,830,4.182951693895722e-6
570,259,829,0.37170869307610627
667,160,827,0.06964474978342322
161,658,819,5.1563785232314115e-5
124,692,816,6.968874176711684e-10
527,280,807,0.03849573950757507
576,231,807,0.8173785353113611
227,578,805,0.847018481559038
367,434,801,0.00029241521305805067
100,664,764,0.202373971344809
193,564,757,0.002628857758603031
464,290,754,0.17188428732906738
460,274,734,0.8257152214189352
270,464,734,4.694986603046275e-18
311,413,724,0.1414933398688039
201,520,721,3.0139955622404478e-5
398,313,711,0.8923448961437978
649,61,710,1.295366265348992e-17
494,201,695,0.012728059638194806
300,390,690,0.6507865890777645
321,359,680,7.325196858308583e-14
552,124,676,0.00022005394867397429
304,371,675,0.18051831243523325
400,273,673,0.9811196105389223
213,460,673,8.415894378599203e-15
414,252,666,0.7885999788272703
380,286,666,0.01630405425995981
117,540,657,0.06896835374674305
292,362,654,0.9403776090136555
117,531,648,0.0005058203388756048
429,214,643,0.0005102430208929783
240,397,637,0.051421000971425775
171,464,635,0.0047637964154045
446,181,627,2.1584612228694625e-16
197,424,621,0.4479232155172413
345,272,617,0.4479232155172413
79,536,615,0.00751016990076341
576,38,614,0.004739490636704777
283,329,612,1.2988644272348817e-8
534,72,606,0.1721472589233271
401,197,598,0.005475840547166609
306,288,594,2.3172624419534047e-14
79,514,593,0.002840094987876644
301,288,589,0.9011477651240992
145,439,584,0.0006275091690775144
335,247,582,0.5848005739840749
327,255,582,0.019408317114667343
99,477,576,0.4479232155172413
299,276,575,0.7253920011322704
484,90,574,0.0007517380545328516
259,299,558,0.018494026020322435
285,273,558,2.3172624419534047e-14
354,197,551,3.011338819515059e-5
285,259,544,0.9366619823508466
293,249,542,0.00015381544403672524
278,262,540,0.9604525435576103
273,262,535,0.3545890738916256
294,236,530,0.03707777286437971
367,160,527,3.837828929118379e-12
210,313,523,0.0027203791950761334
298,222,520,0.26067874293238946
235,278,513,0.7741525432089743
116,389,505,0.4479232155172413
201,300,501,0.12574327202315705
73,428,501,0.1972644552091674
72,429,501,7.896389466638453e-19
430,67,497,6.4316673056596624e-18
105,392,497,0.0010847065101378182
271,223,494,0.0001210069079257471
190,302,492,1.63967987313677e-7
142,346,488,1.0449377864416398e-10
377,111,488,0.039448982909457864
240,248,488,0.9984215199817222
282,205,487,0.5876156877058439
166,319,485,0.6550979728123792
262,220,482,0.10821165814309992
