hfq_lcd_1,hfq_lcd_2,nb_ints,bp_fdr
44371,13252,57623,0.04974410813442702
43292,13087,56379,2.2029259119930053e-6
12583,8366,20949,0.5840299604140061
14260,5435,19695,0.014040548778749938
12025,6765,18790,0.7659187175498298
11032,4282,15314,0.999996
10003,4955,14958,0.922483585895465
7309,5887,13196,9.479840912829308e-20
8238,3591,11829,6.5900917065086e-14
8725,3001,11726,6.126121894522751e-8
7877,2968,10845,0.5193632727992216
6114,3994,10108,3.53642351724694e-6
7590,2102,9692,1.0913316441171638e-18
7445,1644,9089,0.00013522796136840513
5624,2730,8354,3.122655762848013e-7
6472,1857,8329,1.2751219571261248e-32
5924,2381,8305,2.2454350351821642e-10
5934,2122,8056,0.4389759442456205
5550,2474,8024,0.00024499468628549426
4288,3253,7541,0.12046913446977732
5268,2075,7343,0.0019575942924920132
5461,1713,7174,0.39365820288251563
5366,1589,6955,3.3739236217044675e-53
2412,4012,6424,NaN
2299,3768,6067,NaN
3253,2601,5854,0.4916134177182704
4105,1529,5634,7.484778594831405e-20
4031,1583,5614,5.427038880838001e-10
3714,1759,5473,0.7033740002530463
3955,1489,5444,3.2395127995144674e-12
3506,1777,5283,0.9998660036806113
3512,1749,5261,0.6334435298335073
2731,2521,5252,0.3979367638450166
3415,1487,4902,0.10644627622097674
3243,1636,4879,8.58227442464696e-7
3318,1244,4562,0.5054514935536817
2608,1783,4391,0.7102960753443381
3199,1187,4386,3.1760566198490414e-11
2991,1378,4369,4.721685426793666e-15
2796,1479,4275,0.0220768988097168
2912,1344,4256,0.28062252137118787
3082,969,4051,1.5694052311489993e-21
2743,1286,4029,3.1029574915731734e-10
2887,1116,4003,3.0840416476718565e-25
2834,1123,3957,0.3147278493122561
2246,1603,3849,0.534054961478336
2292,1281,3573,0.8617097556108892
2310,1255,3565,0.8204795116931126
2101,1460,3561,0.00898857547329416
2662,874,3536,0.9775183427557455
2397,986,3383,1.3412481476922431e-9
2355,956,3311,0.2516836209930126
2552,727,3279,0.07736076670652509
2411,789,3200,0.37736730121069784
1809,1272,3081,3.46630009035245e-15
2129,759,2888,0.99604904991201
1759,1042,2801,1.1782650848985863e-33
1922,833,2755,0.016352394412106192
1898,696,2594,0.018444893135257334
1932,658,2590,0.047311290040124646
1910,656,2566,0.03025847703180226
1824,691,2515,0.0077233181991708715
1772,724,2496,4.980935662053442e-11
1706,764,2470,2.1180601000126336e-10
1732,728,2460,0.6108999997325166
1789,653,2442,0.1067447846152783
1651,762,2413,7.013443501074254e-7
1596,783,2379,0.2770589453938832
1531,822,2353,0.31568835286364344
1608,740,2348,8.583291273554825e-29
1368,945,2313,2.0144728641638553e-12
1384,899,2283,0.0005754317082386792
1702,554,2256,0.0012266061315004489
1571,680,2251,7.879396124767928e-5
1495,676,2171,0.7977757736796346
1651,494,2145,1.1390564404237803e-6
1578,521,2099,0.18561760226461765
1598,494,2092,3.2157875761266165e-45
1472,612,2084,1.6387770808029546e-31
1525,549,2074,0.00011088488539257851
1569,500,2069,0.003026305008992098
1597,439,2036,0.5773495910338519
1344,691,2035,0.37966544874635244
1733,283,2016,1.8293162095834404e-5
1461,533,1994,5.9490126187756094e-5
1416,570,1986,1.0395241059989123e-10
1275,699,1974,9.843282038176e-10
1586,368,1954,0.7022402488459972
1106,749,1855,0.7943141978951035
1188,640,1828,0.8582276572512665
1297,528,1825,0.7008553584305408
1219,603,1822,0.4869472780660612
1001,815,1816,0.0003275816149475601
1287,512,1799,0.002919444951241586
1228,531,1759,0.0830887012592842
1354,398,1752,0.534054961478336
1075,670,1745,1.7487087794632257e-13
1288,443,1731,0.00033741248898179097
1105,625,1730,0.3147278493122561
644,1084,1728,NaN
