hfq_lcd_1,hfq_lcd_2,nb_ints,bp_fdr
29287,44193,73480,NaN
29294,44150,73444,NaN
18233,44455,62688,0.000416129223029647
17983,43138,61121,1.5911383025919284e-6
17886,43056,60942,0.05719132210276706
17641,42839,60480,0.0012861414622708615
17748,42685,60433,6.13006708319463e-5
17075,41649,58724,0.49543559874771725
44367,13260,57627,0.03461188950865401
43290,13092,56382,7.37183783972774e-7
12016,33902,45918,0.0024377779901720367
10957,32501,43458,0.0005482685109262525
10542,31505,42047,0.04839196304263089
10183,30884,41067,0.015714911811700545
10188,30511,40699,0.17361805857916565
10172,30460,40632,0.0016145952690293027
10022,25431,35453,0.03140594617046862
9674,24815,34489,0.04531425270758149
9514,24523,34037,0.07361819104140599
8802,23394,32196,0.36011793790823543
13433,18403,31836,NaN
8822,22947,31769,0.08863771796454506
13215,18081,31296,NaN
8530,22598,31128,0.10484652883461164
12287,14011,26298,NaN
12180,13763,25943,NaN
13724,9771,23495,0.21185071034975703
13295,8689,21984,0.545442080694089
13325,8121,21446,0.15938727449707998
6487,14689,21176,0.030758156819904358
6087,14706,20793,0.02045001410876503
6020,14411,20431,0.0009702969441883851
5967,14377,20344,0.06623470000158843
6114,14216,20330,0.0021097079919752504
5777,14045,19822,3.0183048396033724e-5
14270,5432,19702,0.007953334043396838
8681,10597,19278,NaN
8476,10524,19000,NaN
12037,6777,18814,0.7399298611810918
10676,7881,18557,0.49543559874771725
10690,7629,18319,0.15938727449707998
4932,12804,17736,9.221021754620868e-5
4828,12805,17633,0.006162005486132496
7959,9598,17557,NaN
4917,12556,17473,0.00038268177380102
4757,12703,17460,0.005220048488102686
4809,12584,17393,0.0002761155829927521
7993,9300,17293,NaN
4832,12379,17211,0.0002243953491727953
4805,12327,17132,0.0004377496677669233
4847,12046,16893,0.0043214014440346
5815,10541,16356,NaN
5594,10422,16016,NaN
11094,4314,15408,0.9999935922552888
4244,11064,15308,0.0006003054994516997
9985,4952,14937,0.914373881847456
5508,8428,13936,NaN
5377,8415,13792,NaN
5384,8370,13754,NaN
5416,8306,13722,NaN
3691,9867,13558,0.04236764586806576
7296,5886,13182,4.020196813277631e-20
8251,3595,11846,2.945353362200485e-14
8734,3005,11739,8.884958867460237e-9
7873,2965,10838,0.4781957166090772
4606,6151,10757,NaN
4477,6102,10579,NaN
4319,5889,10208,NaN
6088,3982,10070,3.0702318581185833e-7
4287,5684,9971,NaN
3717,6194,9911,NaN
7580,2102,9682,3.1996749329369007e-19
7483,1651,9134,6.389576091729658e-5
2304,6326,8630,0.5873856835211906
2109,6468,8577,0.02304392086298788
5616,2728,8344,1.9219598692863172e-7
6460,1858,8318,4.572372510266688e-32
5921,2379,8300,7.85267857155477e-11
2126,5967,8093,0.556053261693435
5947,2135,8082,0.3920056793969034
5545,2474,8019,9.820758163217259e-5
4298,3260,7558,0.08596965406534514
5268,2077,7345,0.0006862461678575344
2593,4738,7331,0.3418817923037201
5456,1711,7167,0.2996747596134443
2384,4605,6989,NaN
2290,4695,6985,NaN
5367,1590,6957,4.398226758341998e-54
3126,3735,6861,NaN
3124,3701,6825,NaN
3054,3595,6649,NaN
2979,3637,6616,NaN
2934,3497,6431,NaN
2409,4015,6424,NaN
1851,4548,6399,0.15478875629918132
2948,3441,6389,NaN
2913,3465,6378,NaN
2858,3302,6160,NaN
2296,3767,6063,NaN
2717,3218,5935,NaN
3249,2612,5861,0.4475557477195245
1426,4390,5816,0.03197682167393736
2631,3169,5800,NaN
1471,4273,5744,0.0013249013882564152
2050,3677,5727,NaN
4110,1534,5644,9.796009368635738e-20
1983,3651,5634,NaN
4029,1579,5608,2.9743547033742806e-10
3727,1778,5505,0.6989424342060874
3948,1489,5437,1.7323320675033043e-12
3499,1776,5275,0.9999184769128274
3516,1759,5275,0.6006912051840948
2732,2519,5251,0.3757976335022211
1431,3765,5196,0.26811649550338373
1729,3240,4969,0.026904752206985252
1367,3575,4942,2.1741355390785267e-6
3411,1486,4897,0.1155597461107662
3245,1636,4881,3.7112115839713655e-7
1354,3421,4775,0.5285713137849607
1294,3431,4725,0.08268616063448464
1322,3275,4597,0.0024305737656113596
1296,3277,4573,0.2131739554249933
3315,1242,4557,0.47059718300816017
1913,2642,4555,NaN
2610,1786,4396,0.6702003176138396
3198,1187,4385,9.681534322730097e-12
2986,1382,4368,3.2816390654091013e-15
1186,3177,4363,0.2788434629344524
1162,3190,4352,0.11591608918345511
2810,1487,4297,0.013408454150382063
2911,1346,4257,0.24617416480616788
1255,2920,4175,0.12004976413680925
1755,2397,4152,NaN
1589,2491,4080,0.04596485387213393
3078,965,4043,1.0724624090190278e-21
2738,1284,4022,1.5398960902377837e-10
2884,1115,3999,2.994349947938489e-25
2833,1122,3955,0.3236338829271008
1673,2281,3954,NaN
1469,2445,3914,0.005875755863807433
1072,2837,3909,0.43678294588664146
2247,1607,3854,0.49543559874771725
1597,2242,3839,NaN
1076,2726,3802,0.2198858292707052
1402,2335,3737,0.003623697543526595
1150,2511,3661,0.5572941412899695
936,2703,3639,NaN
2296,1282,3578,0.8635312259445812
863,2709,3572,NaN
2309,1262,3571,0.7810055657748826
1004,2563,3567,0.013540440973441077
2096,1458,3554,0.0004925015255378425
2663,875,3538,0.9699688204277042
1031,2504,3535,8.966738530159074e-5
2401,989,3390,3.9171702771706094e-10
983,2398,3381,0.0009774962874539443
903,2473,3376,0.8242392383158169
1364,1969,3333,NaN
2367,963,3330,0.23019797850379875
876,2438,3314,0.6482663567218688
1361,1928,3289,NaN
2542,727,3269,0.05947402934147406
2428,794,3222,0.34628659620070884
1041,2105,3146,NaN
1479,1659,3138,0.10032275229784271
973,2129,3102,0.14597773881033854
1013,2088,3101,NaN
1439,1642,3081,NaN
1811,1269,3080,1.0029442656593228e-15
1371,1641,3012,NaN
1355,1644,2999,NaN
1376,1592,2968,NaN
