hfq_hcd_1,hfq_hcd_2,nb_ints,bp_fdr
40131,59843,99974,1.1703115313527213e-18
52464,26433,78897,0.9999976028923674
15521,6380,21901,0.1244061789766215
6822,9491,16313,0.0010104560836459247
9902,6004,15906,0.009410414330218242
5292,7185,12477,0.10750993041329115
7012,5429,12441,0.3099009652134965
7193,3219,10412,6.413768352839343e-18
2827,6648,9475,4.400389379052911e-12
3434,5753,9187,1.6606766901262318e-6
926,5737,6663,3.066202059716253e-14
3363,2411,5774,5.498256481154621e-10
378,3604,3982,2.2301167357659136e-5
849,3026,3875,0.04958292692479676
792,3068,3860,0.9992876794345438
946,2633,3579,0.8655008786900369
2275,992,3267,0.16436974576119795
1653,1419,3072,5.176951150625762e-8
1176,1806,2982,2.0378087830526323e-5
558,2412,2970,0.47311318896665966
1402,1489,2891,0.13349194201575146
1646,1058,2704,3.9090754829502605e-8
1649,954,2603,3.878372356468444e-11
1401,823,2224,0.9954060359153207
1015,1114,2129,1.8101967508041436e-8
700,1404,2104,NaN
934,1089,2023,2.553281601493816e-14
962,1040,2002,1.980875712087567e-7
1002,950,1952,0.0004488881033900778
857,880,1737,0.2285177657705818
393,1321,1714,8.749652729245806e-28
422,1250,1672,4.2696016598043095e-9
527,1052,1579,3.669054946607981e-11
872,702,1574,0.9602229766652525
744,815,1559,8.914440976766202e-13
319,1216,1535,0.9999320267278714
452,998,1450,9.461929173277564e-7
902,482,1384,0.8729108053472489
396,981,1377,0.372277793046583
641,669,1310,1.6154365104951035e-5
418,807,1225,4.751083596745134e-11
316,891,1207,4.578595200307163e-29
171,1022,1193,7.519980205320503e-18
561,621,1182,0.017936625825384724
345,771,1116,0.39874800976549496
624,487,1111,1.1424027946135988e-5
787,319,1106,0.002436710801393347
494,609,1103,0.7991005438385151
652,426,1078,0.8954585241212195
575,502,1077,0.0018786361621334852
148,894,1042,0.9933699598267648
559,475,1034,0.5376043881865737
474,533,1007,0.17019266260341442
644,356,1000,1.312018648662506e-13
357,628,985,4.098470572090932e-5
554,425,979,0.004482479413465328
181,793,974,0.0003532944516046834
113,855,968,1.1808754658416892e-12
454,495,949,0.23609730939414558
178,768,946,0.002436710801393347
241,685,926,0.5836556595239325
570,350,920,0.6063774935893282
151,764,915,0.001120992580712033
553,353,906,0.36384937711638676
632,246,878,0.011230930388775354
136,718,854,1.618997153431117e-7
83,770,853,0.9596480005916581
426,413,839,0.05338838749999978
513,323,836,6.702376136003177e-9
570,265,835,0.9854887762528594
469,360,829,0.0010373558516678506
422,403,825,0.2687678906502279
584,231,815,0.000545224120932121
647,158,805,0.055135963526267595
156,644,800,4.7464071403577114e-5
570,228,798,0.7251607233412494
121,677,798,1.4536321590892035e-8
540,255,795,0.7957812056274994
520,274,794,0.06076806464469537
226,565,791,0.8655008786900369
359,428,787,0.0005109361702100939
191,558,749,0.0074756297546128
100,637,737,0.2501741304218029
451,284,735,0.23124800566345333
454,273,727,0.8812283326652327
199,509,708,3.9137832184710514e-5
646,60,706,3.552569998460992e-17
307,398,705,1.919848154554383e-6
306,398,704,0.17078278097947147
257,447,704,5.329669770915761e-18
384,311,695,0.8655008786900369
488,199,687,0.010932655641098589
292,381,673,0.5871502344401743
210,458,668,5.644617113449073e-15
295,364,659,0.23606813440598648
308,347,655,6.12198695719232e-17
535,119,654,0.0003014754616629
115,535,650,0.05338838749999978
372,272,644,0.012616204938038212
383,260,643,0.985361645794053
