hfq_lcd_1,hfq_lcd_2,nb_ints,bp_fdr
47326,14032,61358,0.024979424385777767
44765,13497,58262,5.063210494323906e-7
16062,10285,26347,0.6121016099508122
16521,6211,22732,0.028886075440067927
12286,6936,19222,0.7286316877722917
11664,4575,16239,0.9999996001813158
10188,5027,15215,0.9945766076214879
7558,6079,13637,3.709789002653007e-17
8604,3738,12342,2.7727270033475413e-15
9055,3105,12160,4.084975425856564e-10
8126,3055,11181,0.562149231572274
6061,3996,10057,6.222255891353537e-13
7570,2108,9678,8.356362337324539e-13
7724,1707,9431,0.00017644080765729858
6468,2479,8947,2.0375022741576865e-5
6160,2453,8613,9.143468784310337e-11
6308,2291,8599,0.6505728275062779
6562,1900,8462,8.452469642688706e-32
5688,2753,8441,5.3944450441661945e-8
5606,2509,8115,0.0002286532136631147
4485,3339,7824,0.09943458759150654
5612,1773,7385,0.3149813444585866
5307,2061,7368,0.002977160719810696
5494,1617,7111,1.8733762818786656e-49
2399,3993,6392,0.7267509803124766
3486,2735,6221,0.6559945167018542
4216,1986,6202,0.7094515197808151
2283,3749,6032,0.14766029718238274
4244,1579,5823,7.290817421348851e-20
3735,1861,5596,0.6296107762766334
4046,1537,5583,3.349569917035034e-11
2790,2570,5360,0.46220780184934035
3530,1786,5316,0.9994802748747967
3470,1511,4981,0.18769446178203986
3304,1641,4945,9.028710329317092e-7
3509,1324,4833,0.47793771766761745
3269,1521,4790,4.379922385929486e-20
3031,1593,4624,0.021960220642977778
2668,1839,4507,0.7267509803124766
3270,1213,4483,4.1046556144951434e-10
3083,1235,4318,0.55938655314031
3013,1159,4172,1.7335050266320347e-30
3129,988,4117,5.850247237065635e-22
2836,1265,4101,0.569149748895899
2358,1677,4035,0.23979578697366985
2747,1286,4033,3.157858270842983e-10
2498,1396,3894,0.9277404558743804
2452,1320,3772,0.6914431924244484
2678,1066,3744,0.3149813444585866
2722,892,3614,0.9649170932836378
2553,1056,3609,5.938343157583108e-12
2098,1462,3560,0.00044215045880462747
2573,844,3417,0.2180321792514569
2591,810,3401,0.9711836190363513
2559,732,3291,0.001395290507411648
1870,1307,3177,4.533094372783182e-15
2269,806,3075,0.9958877026004227
2000,875,2875,0.010531813079515109
1801,1070,2871,4.216016492654852e-45
2048,689,2737,0.022354028998561398
2000,718,2718,0.030176783755456106
2005,674,2679,0.017875825362068328
1990,675,2665,0.1735429569267864
1928,735,2663,0.010164864035855441
1940,708,2648,0.010856845523153864
1787,815,2602,5.559737942265919e-7
1751,825,2576,5.503841279767611e-32
1800,734,2534,4.3010313176901725e-12
1734,730,2464,0.35291544996872376
1613,849,2462,0.36828820715253097
1693,759,2452,2.974526366713081e-5
1423,978,2401,6.872680483605543e-13
1588,773,2361,5.771001207227297e-7
1420,925,2345,0.0003090811978430916
1601,688,2289,4.16686796543204e-5
1566,705,2271,0.7582540955828375
1731,522,2253,2.175068694241706e-6
1629,586,2215,7.475649332299204e-5
1625,554,2179,0.47793771766761745
1632,537,2169,0.16806732870266622
1512,638,2150,1.0284027263839229e-41
1405,726,2131,0.06307640324410625
1626,502,2128,2.066921039068372e-47
1610,509,2119,0.0042994101677571
1334,737,2071,1.0995941103727998e-11
1627,444,2071,0.6104096037191906
