hfq_hcd_1,hfq_hcd_2,nb_ints,bp_fdr
40866,60665,101531,2.0680385442031307e-19
54152,27337,81489,0.9999978710276273
15969,6544,22513,0.09251629364421518
6904,9620,16524,0.0005046593332408976
10057,6092,16149,0.005493679197831013
7249,5600,12849,0.3752736832146176
5412,7335,12747,0.06280478090433868
7340,3300,10640,1.3584114417959003e-19
2847,6708,9555,1.2454784604147106e-11
3520,5909,9429,2.779812154678955e-7
6618,2642,9260,NaN
6566,2580,9146,NaN
941,5814,6755,5.0544960363306215e-16
3421,2446,5867,4.165634096293122e-10
3497,2005,5502,NaN
3483,1944,5427,NaN
3289,1582,4871,0.1791109280893668
3091,1496,4587,0.025959162555178696
2985,1502,4487,0.14045805381124643
3010,1435,4445,0.014711429637765575
2944,1447,4391,0.11302026105487464
2816,1422,4238,0.0010351380526860909
384,3647,4031,3.3989681124326023e-7
811,3158,3969,0.9991181264881683
1754,2201,3955,NaN
868,3069,3937,0.030126041581438865
2684,1235,3919,0.7477900616625992
2554,1138,3692,0.2351696723086702
948,2651,3599,0.8855834794980711
2750,810,3560,0.27869196190494194
1458,2038,3496,NaN
2697,793,3490,0.24657737180731118
2646,833,3479,0.02143073799725636
2371,1069,3440,0.21058574314496395
2331,1086,3417,0.085819892357198
2284,1107,3391,NaN
2333,1046,3379,0.006944758155782498
2322,1012,3334,0.08846011335822734
2231,1101,3332,NaN
2469,807,3276,0.8855098908130815
2258,910,3168,NaN
2159,1007,3166,0.017364389753043535
1662,1427,3089,6.608572439506938e-10
574,2496,3070,0.3606518253839284
1205,1842,3047,1.2484677315213616e-5
1406,1616,3022,NaN
2092,886,2978,NaN
1414,1499,2913,0.5983910585585586
1291,1609,2900,NaN
1677,1087,2764,4.482801322301776e-9
1683,963,2646,2.660727965215478e-11
1557,790,2347,NaN
1522,794,2316,NaN
1562,720,2282,NaN
1431,847,2278,0.9945519079281663
1517,735,2252,NaN
1043,1207,2250,4.293430871037847e-9
1007,1161,2168,8.152373377851617e-13
1492,664,2156,0.0503944665317212
703,1415,2118,NaN
1457,650,2107,NaN
988,1067,2055,5.880848498346954e-7
1450,585,2035,0.00220877136596021
1311,718,2029,NaN
1418,598,2016,NaN
1276,739,2015,NaN
1024,979,2003,0.0001223736473915112
1183,690,1873,NaN
1193,660,1853,NaN
1135,677,1812,NaN
879,901,1780,0.1791109280893668
1292,468,1760,0.11302026105487464
1236,509,1745,0.011766111406950415
400,1336,1736,4.1528709421219333e-29
1194,506,1700,0.010377883515266046
425,1261,1686,3.3914563914263444e-9
1182,499,1681,0.1791109280893668
1210,465,1675,0.6463652182050513
1184,481,1665,0.5444944820158105
1161,502,1663,0.008500674696766028
914,740,1654,0.9449070443916393
1126,525,1651,4.846733960946655e-6
1120,506,1626,0.15241460062697998
1045,566,1611,NaN
535,1074,1609,2.660727965215478e-11
758,828,1586,3.8713441078055975e-13
1096,485,1581,0.2202081468432955
327,1234,1561,0.9996284175028579
1056,474,1530,0.10591629407135998
463,1017,1480,1.8635018612657482e-8
1032,410,1442,0.9741337647667054
1008,431,1439,0.02143073799725636
411,1017,1428,0.26784561889568126
922,494,1416,0.7830530099568438
1025,389,1414,0.6826185730663652
1005,406,1411,0.14861309234686118
1021,316,1337,NaN
